image,slices_full,slices_fk,time_full,time_fk,tp_full,fp_full,fn_full,precision_full,recall_full,tp_fk,fp_fk,fn_fk,precision_fk,recall_fk
00001.jpg,100,58,6.296935319900513,3.082512617111206,11,19,3,0.36666666666666664,0.7857142857142857,11,19,3,0.36666666666666664,0.7857142857142857
00002.jpg,100,78,4.252618074417114,3.4040188789367676,2,0,5,1.0,0.2857142857142857,2,0,5,1.0,0.2857142857142857
00003.jpg,100,62,5.8251283168792725,3.9751439094543457,1,18,6,0.05263157894736842,0.14285714285714285,1,17,6,0.05555555555555555,0.14285714285714285
00004.jpg,100,82,5.908318042755127,5.014001369476318,14,20,31,0.4117647058823529,0.3111111111111111,14,20,31,0.4117647058823529,0.3111111111111111
00005.jpg,100,86,7.092533349990845,6.145853281021118,9,15,9,0.375,0.5,9,15,9,0.375,0.5
00006.jpg,100,44,5.959822654724121,2.9134862422943115,3,10,6,0.23076923076923078,0.3333333333333333,3,10,6,0.23076923076923078,0.3333333333333333
00007.jpg,100,64,5.948445081710815,3.948127031326294,22,15,22,0.5945945945945946,0.5,22,15,22,0.5945945945945946,0.5
00008.jpg,100,81,6.417532205581665,5.445734262466431,6,17,6,0.2608695652173913,0.5,6,17,6,0.2608695652173913,0.5
00009.jpg,100,58,6.056926012039185,3.9344260692596436,9,10,14,0.47368421052631576,0.391304347826087,9,10,14,0.47368421052631576,0.391304347826087
00010.jpg,100,85,6.236607313156128,5.371824264526367,2,6,5,0.25,0.2857142857142857,2,6,5,0.25,0.2857142857142857
